Name,CountryOperatorOwner,OperatorOwner,Users,Purpose,ApogeeKM,LaunchMassKG,DateOfLaunch,LaunchSite
AAUSat-4,Denmark,University of Aalborg,Civil,Earth Observation,687,1,4/25/2016,Guiana Space Center
"ABS-2 (Koreasat-8, ST-3)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35793,6330,2/6/2014,Guiana Space Center
ABS-2A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35700,1800,6/15/2016,Cape Canaveral
"ABS-3 (Agila 2, Mabuhay 1)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35802,3775,8/19/1997,Xichang Satellite Launch Center
ABS-3A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35803,2000,3/2/2015,Cape Canaveral
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35793,4143,3/13/2004,Cape Canaveral
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35794,2894,9/26/1999,Baikonur Cosmodrome
"ABS-7 (Koreasat 3, Mugungwha 3)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35791,3500,9/4/1999,Guiana Space Center
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,36013,4500,5/9/1998,Cape Canaveral
"Advanced Orion 3 (Mentor, NROL 19, USA 171)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,35984,4500,9/9/2003,Cape Canaveral
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,35937,5000,1/18/2009,Cape Canaveral
"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,35500,5000,11/21/2010,Cape Canaveral
"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,35805,5000,6/29/2012,Cape Canaveral
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,35903,5000,6/11/2016,Cape Canaveral
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,US Air Force,Military,Communications,35801,6169,5/3/2012,Cape Canaveral
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA,US Air Force,Military,Communications,35803,6169,9/18/2013,Cape Canaveral
Aeneas,USA,Department of Homeland Security,Government,Technology Development,790,3,9/13/2012,Vandenberg AFB
Aerocube 4.5A,USA,Aerospace Corporation,Commercial,Technology Development,791,5,9/13/2012,Vandenberg AFB
Aerocube 4.5B,USA,Aerospace Corporation,Commercial,Technology Development,792,5,9/13/2012,Vandenberg AFB
Aerocube 5A,USA,Aerospace Corporation,Commercial,Technology Development,886,5,12/6/2013,Vandenberg AFB
Aerocube 5B,USA,Aerospace Corporation,Commercial,Technology Development,886,5,12/6/2013,Vandenberg AFB
Aerocube 5C,USA,Aerospace Corporation,Commercial,Technology Development,802,2,10/8/2015,Vandenberg AFB
Aerocube 6A,USA,Aerospace Corporation,Commercial,Technology Development,700,5,6/19/2014,Dombarovsky Air Base
Aerocube 6B,USA,Aerospace Corporation,Commercial,Technology Development,700,5,6/19/2014,Dombarovsky Air Base
Aerocube 7A,USA,Aerospace Corporation,Commercial,Technology Development,802,2,10/8/2015,Vandenberg AFB
Aerocube 8A,USA,Aerospace Corporation,Commercial,Technology Development,700,5,5/20/2015,Cape Canaveral
Aerocube 8B,USA,Aerospace Corporation,Commercial,Technology Development,700,5,5/20/2015,Cape Canaveral
Aerocube 8C,USA,Aerospace Corporation,Commercial,Technology Development,585,2,11/11/2016,Vandenberg AFB
Aerocube 8D,USA,Aerospace Corporation,Commercial,Technology Development,584,2,11/11/2016,Vandenberg AFB
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,35808,3460,12/20/2008,Guiana Space Center
Afristar,USA,1Worldspace,Commercial,Communications,35802,2704,10/28/1998,Guiana Space Center
AIM (Aeronomy of Ice in Mesosphere),USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,552,215,4/25/2007,Vandenberg AFB
AISat-1,Germany,German Aerospace Center (DLR),Government,Communications,660,14,6/30/2014,Satish Dhawan Space Center
AISSat-1 (Automatic Identification System Satellite-1),Norway,Norwegian Coastal Admnistration,Government,Communications,632,6,7/12/2010,Satish Dhawan Space Center
AISSat-2 (Automatic Identification System Satellite-2),Norway,Norwegian Coastal Admnistration,Government,Communications,631,6,7/8/2014,Baikonur Cosmodrome
AIST-1,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,626,,12/28/2013,Plesetsk Cosmodrome
AIST-2,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,582,53,4/19/2013,Baikonur Cosmodrome
AIST-2D,Russia,Samara State Aerospace University,Civil,Technology Development,486,531,4/27/2016,Vostochny Cosmodrome
ALiCE  (AFIT LEO iMESA CNT E),USA,US Air Force Institute of Technology,Military,Technology Development,886,5,12/6/2013,Vandenberg AFB
Alphasat I-XL  (Inmarsat IV-A F4),United Kingdom/ESA,"INMARSAT, Ltd./European Space Agency",Commercial/Government,Communications/Technology Development,35787,6650,7/25/2013,Guiana Space Center
Alsat 2B,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,660,117,9/26/2016,Satish Dhawan Space Center
Alsat-1B,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,704,103,9/26/2016,Satish Dhawan Space Center
AlSat-1N,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,698,10,9/26/2016,Satish Dhawan Space Center
Alsat-2A (Algeria Satellite 2A),Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,674,130,7/12/2010,Satish Dhawan Space Center
Amazonas-1,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,35797,4545,8/4/2004,Baikonur Cosmodrome
Amazonas-2,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,35805,5465,10/1/2009,Guiana Space Center
Amazonas-3,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,35791,6265,2/7/2013,Guiana Space Center
Amazonas-4A,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,35795,2938,3/22/2014,Guiana Space Center
"AMC-1 (Americom 1, GE-1)",USA,SES (Société Européenne des Satellites (SES)),Commercial,Communications,35800,2783,9/8/1996,Cape Canaveral
"AMC-10 (Americom-10, GE 10)",USA,SES World Skies,Commercial,Communications,35797,2315,2/5/2004,Cape Canaveral
"AMC-11 (Americom-11, GE 11)",USA,SES World Skies,Commercial,Communications,35797,2340,5/19/2004,Cape Canaveral
AMC-15 (Americom-15),USA,SES World Skies,Commercial,Communications,35795,4200,10/14/2004,Baikonur Cosmodrome
AMC-16 (Americom-16),USA,SES World Skies,Commercial,Communications,35793,4312,12/17/2004,Cape Canaveral
AMC-18 (Americom 18),USA,SES World Skies,Commercial,Communications,35800,2081,12/8/2006,Guiana Space Center
